"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
7.798156730E-1,-1.804733276E0,-3.314178467E0,8.147460938E0
7.822875970E-1,-1.805938721E0,-3.229171753E0,8.079223633E0
7.847900390E-1,-1.744888306E0,-3.219009399E0,7.978073120E0
7.872619630E-1,-1.702987671E0,-3.218399048E0,7.811080933E0
7.897338860E-1,-1.662887573E0,-3.264495850E0,7.610565186E0
7.922363280E-1,-1.606613159E0,-3.274063110E0,7.409454346E0
7.947082520E-1,-1.486312866E0,-3.254318237E0,7.317276001E0
7.972106930E-1,-1.397720337E0,-3.300399780E0,7.312484741E0
7.996826170E-1,-1.282806396E0,-3.316574097E0,7.346603394E0
8.021545410E-1,-1.172668457E0,-3.354278564E0,7.395690918E0
8.046569820E-1,-9.344482422E-1,-3.320755005E0,7.524368286E0
8.071289060E-1,-8.338928223E-1,-3.281250000E0,7.741043091E0
8.096008300E-1,-6.752777100E-1,-3.289031982E0,7.879318237E0
8.121032710E-1,-4.927215576E-1,-3.362060547E0,8.104965210E0
8.145751950E-1,-3.023681641E-1,-3.483566284E0,8.239639282E0
8.170776360E-1,-8.331298828E-2,-3.679290771E0,8.410232544E0
8.195495600E-1,1.591033936E-1,-3.772659302E0,8.485641479E0
8.220214840E-1,3.207092285E-1,-4.141372681E0,8.683166504E0
8.245239250E-1,5.810852051E-1,-4.474761963E0,8.801086426E0
8.269958490E-1,7.636413574E-1,-4.771041870E0,8.848968506E0
8.294677730E-1,8.761749268E-1,-4.900924683E0,8.987228394E0
8.319702150E-1,9.988708496E-1,-5.007476807E0,9.133270264E0
8.344421380E-1,1.113800049E0,-5.114608765E0,9.231445312E0
8.369445800E-1,1.222137451E0,-5.236709595E0,9.236831665E0
8.394165040E-1,1.322692871E0,-5.308547974E0,9.300277710E0
8.418884270E-1,1.380157471E0,-5.287597656E0,9.327804565E0
8.443908690E-1,1.489089966E0,-5.255264282E0,9.290695190E0
8.468627930E-1,1.549545288E0,-5.310943604E0,9.285308838E0
