"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
5.463562010E-1,-1.297164917E0,2.470809937E0,9.816818237E0
5.488281250E-1,-1.346252441E0,2.413360596E0,9.892242432E0
5.513305670E-1,-1.398925781E0,2.422332764E0,9.906600952E0
5.538024900E-1,-1.359420776E0,2.495956421E0,9.995193481E0
5.562744140E-1,-1.386352539E0,2.422332764E0,9.995193481E0
5.587768560E-1,-1.498870850E0,2.391815186E0,1.007299805E1
5.612487800E-1,-1.470748901E0,2.376846313E0,1.007240295E1
5.637512210E-1,-1.511444092E0,2.407974243E0,1.006222534E1
5.662231450E-1,-1.499481201E0,2.391204834E0,1.006881714E1
5.686950690E-1,-1.613204956E0,2.383422852E0,1.009515381E1
5.711975100E-1,-1.620986938E0,2.363082886E0,1.009634399E1
5.736694340E-1,-1.640731812E0,2.367263794E0,1.010711670E1
5.761413580E-1,-1.702987671E0,2.418746948E0,1.012626648E1
5.786437990E-1,-1.692810059E0,2.458847046E0,1.013165283E1
5.811157230E-1,-1.703582764E0,2.489974976E0,1.013046265E1
5.836181640E-1,-1.746673584E0,2.429519653E0,1.011608887E1
5.860900880E-1,-1.732910156E0,2.486373901E0,1.007719421E1
5.885620120E-1,-1.762832642E0,2.512115479E0,1.005264282E1
5.910644530E-1,-1.753265381E0,2.495956421E0,1.015440369E1
5.935363770E-1,-1.740097046E0,2.449264526E0,1.013584900E1
5.960083010E-1,-1.722732544E0,2.445083618E0,1.012327576E1
5.985107420E-1,-1.720932007E0,2.410369873E0,1.011788940E1
6.009826660E-1,-1.669464111E0,2.400192261E0,1.014422607E1
6.034851080E-1,-1.670654297E0,2.348709106E0,1.013165283E1
6.059570310E-1,-1.606018066E0,2.412765503E0,1.006282043E1
6.084289550E-1,-1.635940552E0,2.423538208E0,1.007000732E1
6.109313970E-1,-1.626373291E0,2.387023926E0,1.002751160E1
6.134033210E-1,-1.592849731E0,2.410369873E0,1.000537109E1
