"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
4.395446780E-1,-3.699493408E-1,2.111816406E-1,-1.686859131E-1
4.420166010E-1,-3.795471191E-1,2.197113037E-1,-1.740112305E-1
4.445190430E-1,-3.848724365E-1,2.303619385E-1,-1.793518066E-1
4.469909670E-1,-3.891296387E-1,2.399444580E-1,-1.900024414E-1
4.494628900E-1,-3.933868408E-1,2.452697754E-1,-1.995849609E-1
4.519653320E-1,-3.933868408E-1,2.505950928E-1,-2.059783936E-1
4.544372560E-1,-3.955230713E-1,2.548675537E-1,-2.113037109E-1
4.569091800E-1,-3.965911865E-1,2.548675537E-1,-2.198181152E-1
4.594116210E-1,-3.933868408E-1,2.516632080E-1,-2.240905762E-1
4.618835450E-1,-3.912658691E-1,2.516632080E-1,-2.272796631E-1
4.643554690E-1,-3.869934082E-1,2.495422363E-1,-2.326049805E-1
4.668579100E-1,-3.880615234E-1,2.474060059E-1,-2.368621826E-1
4.693298340E-1,-3.848724365E-1,2.399444580E-1,-2.432556152E-1
4.718017580E-1,-3.827362061E-1,2.378234863E-1,-2.422027588E-1
4.743041990E-1,-3.805999756E-1,2.324981689E-1,-2.443237305E-1
4.767761230E-1,-3.763427734E-1,2.303619385E-1,-2.485809326E-1
4.792785640E-1,-3.774108887E-1,2.229003906E-1,-2.443237305E-1
4.817504880E-1,-3.742218018E-1,2.218322754E-1,-2.475280762E-1
4.842224120E-1,-3.752746582E-1,2.197113037E-1,-2.549743652E-1
4.867248530E-1,-3.688964844E-1,2.154541016E-1,-2.539062500E-1
4.891967770E-1,-3.656921387E-1,2.122497559E-1,-2.517852783E-1
4.916992190E-1,-3.678283691E-1,2.101287842E-1,-2.507171631E-1
4.941711420E-1,-3.646240234E-1,2.005310059E-1,-2.517852783E-1
4.966430660E-1,-3.614349365E-1,1.962738037E-1,-2.507171631E-1
4.991455080E-1,-3.603668213E-1,1.941375732E-1,-2.507171631E-1
5.016174310E-1,-3.561096191E-1,1.962738037E-1,-2.485809326E-1
5.040893550E-1,-3.592987061E-1,1.909484863E-1,-2.496490479E-1
5.065917970E-1,-3.539733887E-1,1.877441406E-1,-2.464599609E-1
5.090637210E-1,-3.507843018E-1,1.856231689E-1,-2.453918457E-1
5.115661620E-1,-3.454589844E-1,1.920166016E-1,-2.453918457E-1
5.140380860E-1,-3.348083496E-1,1.920166016E-1,-2.389984131E-1
5.165100100E-1,-3.305358887E-1,1.877441406E-1,-2.389984131E-1
5.190124510E-1,-3.230895996E-1,1.909484863E-1,-2.326049805E-1
5.214843750E-1,-3.145599365E-1,1.909484863E-1,-2.283477783E-1
5.239562990E-1,-3.007202148E-1,1.877441406E-1,-2.240905762E-1
5.264587400E-1,-2.900543213E-1,1.802978516E-1,-2.198181152E-1
5.289306640E-1,-2.783355713E-1,1.760253906E-1,-2.176971436E-1
5.314331050E-1,-2.623596191E-1,1.696472168E-1,-2.155609131E-1
5.339050290E-1,-2.538452148E-1,1.568603516E-1,-2.113037109E-1
5.363769530E-1,-2.410583496E-1,1.462097168E-1,-2.049102783E-1
5.388793940E-1,-2.314758301E-1,1.334228516E-1,-1.974487305E-1
5.413513180E-1,-2.197570801E-1,1.206359863E-1,-1.900024414E-1
5.438232420E-1,-2.133636475E-1,1.089172363E-1,-1.814727783E-1
5.463256830E-1,-1.995086670E-1,9.080505371E-2,-1.740112305E-1
5.487976070E-1,-1.888580322E-1,7.908630371E-2,-1.665649414E-1
5.513000490E-1,-1.803436279E-1,6.417846680E-2,-1.612396240E-1
5.537719730E-1,-1.707458496E-1,4.927062988E-2,-1.527099609E-1
5.562438960E-1,-1.590270996E-1,3.222656250E-2,-1.420593262E-1
