"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
6.754760750E-1,-1.310577393E0,1.517196655E0,9.210662842E-1
6.779785160E-1,-1.281814575E0,1.510803223E0,9.295959473E-1
6.804504400E-1,-1.254119873E0,1.485244751E0,9.402465820E-1
6.829223640E-1,-1.226425171E0,1.441574097E0,9.572906494E-1
6.854248050E-1,-1.204055786E0,1.377655029E0,9.690093994E-1
6.878967290E-1,-1.190200806E0,1.294555664E0,9.796600342E-1
6.903686530E-1,-1.185943604E0,1.191223145E0,9.892578125E-1
6.928710940E-1,-1.179550171E0,1.055938721E0,1.004165649E0
6.953430180E-1,-1.162506104E0,8.950805664E-1,1.030792236E0
6.978454590E-1,-1.148666382E0,7.363586426E-1,1.056365967E0
7.003173830E-1,-1.135879517E0,5.872192383E-1,1.079803467E0
7.027893070E-1,-1.119903564E0,4.263763428E-1,1.103240967E0
7.052917480E-1,-1.108184814E0,2.580566406E-1,1.125610352E0
7.077636720E-1,-1.092208862E0,8.654785156E-2,1.140518188E0
7.102355960E-1,-1.075164795E0,-7.963562012E-2,1.160751343E0
7.127380370E-1,-1.055984497E0,-2.490081787E-1,1.182067871E0
7.152099610E-1,-1.037872314E0,-4.215850830E-1,1.207626343E0
7.177124030E-1,-1.020828247E0,-5.909576416E-1,1.236389160E0
7.201843260E-1,-9.995269775E-1,-7.592620850E-1,1.264083862E0
7.226562500E-1,-9.792785645E-1,-9.169311523E-1,1.296051025E0
7.251586920E-1,-9.601135254E-1,-1.068191528E0,1.326934814E0
7.276306160E-1,-9.420013428E-1,-1.217330933E0,1.354629517E0
7.301025390E-1,-9.228210449E-1,-1.364334106E0,1.384460449E0
7.326049810E-1,-9.004516602E-1,-1.503890991E0,1.418548584E0
7.350769050E-1,-8.887329102E-1,-1.634918213E0,1.449447632E0
7.375488280E-1,-8.802185059E-1,-1.757415771E0,1.482467651E0
7.400512700E-1,-8.695678711E-1,-1.878860474E0,1.516555786E0
7.425231940E-1,-8.674316406E-1,-1.986450195E0,1.557037354E0
7.450256350E-1,-8.642425537E-1,-2.092987061E0,1.593261719E0
7.474975590E-1,-8.589172363E-1,-2.199508667E0,1.627349854E0
7.499694830E-1,-8.578491211E-1,-2.281524658E0,1.665695190E0
7.524719240E-1,-8.567810059E-1,-2.351837158E0,1.704040527E0
7.549438480E-1,-8.578491211E-1,-2.411499023E0,1.741333008E0
7.574157720E-1,-8.652954102E-1,-2.471145630E0,1.789260864E0
7.599182130E-1,-8.802185059E-1,-2.515884399E0,1.839324951E0
7.623901370E-1,-9.036560059E-1,-2.546783447E0,1.889404297E0
7.648925780E-1,-9.292144775E-1,-2.569152832E0,1.941589355E0
7.673645020E-1,-9.601135254E-1,-2.581939697E0,1.994857788E0
7.698364260E-1,-9.888763428E-1,-2.581939697E0,2.051315308E0
7.723388670E-1,-1.016571045E0,-2.564895630E0,2.101379395E0
7.748107910E-1,-1.045333862E0,-2.529739380E0,2.152511597E0
7.772827150E-1,-1.063446045E0,-2.487121582E0,2.201522827E0
7.797851570E-1,-1.080490112E0,-2.435989380E0,2.248397827E0
7.822570800E-1,-1.095397949E0,-2.374206543E0,2.295257568E0
7.847595220E-1,-1.108184814E0,-2.309234619E0,2.334686279E0
7.872314460E-1,-1.115646362E0,-2.243179321E0,2.373031616E0
7.897033690E-1,-1.119903564E0,-2.175003052E0,2.403915405E0
7.922058110E-1,-1.124160767E0,-2.102569580E0,2.434814453E0
