"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.033050537E0,-4.534811020E0,-1.658542061E1,4.826792717E0,1.785885259E1
1.037994384E0,-4.040760040E0,-1.637420082E1,4.851986408E0,1.754947197E1
1.042968750E0,-4.095879555E0,-1.613226318E1,4.737815857E0,1.730528948E1
1.047943115E0,-4.577016830E0,-1.601783943E1,4.407826900E0,1.723221405E1
1.052917480E0,-5.300206184E0,-1.622580719E1,4.151477814E0,1.756712192E1
1.057861328E0,-6.102318764E0,-1.660883141E1,4.654627800E0,1.829636945E1
1.062835693E0,-6.690773010E0,-1.667540169E1,5.728271008E0,1.885864665E1
1.067810058E0,-6.861998558E0,-1.647527695E1,6.663698196E0,1.905063380E1
1.072784423E0,-6.703025818E0,-1.640997124E1,7.275996208E0,1.916136300E1
1.077728271E0,-6.268474579E0,-1.639556503E1,7.721740723E0,1.917638146E1
1.082702636E0,-5.492741585E0,-1.632050323E1,8.083318710E0,1.902285671E1
1.087677002E0,-4.434651375E0,-1.591057301E1,8.221707344E0,1.845017447E1
1.092651367E0,-3.248426437E0,-1.540014172E1,8.115496635E0,1.770813160E1
1.097595214E0,-2.297947884E0,-1.501057148E1,7.935420036E0,1.713384696E1
1.102569580E0,-1.484999657E0,-1.475060272E1,7.554669380E0,1.663906650E1
1.107543945E0,-8.837814331E-1,-1.451135254E1,7.142970562E0,1.619822369E1
1.112518310E0,-6.099262238E-1,-1.434710789E1,6.797863007E0,1.588780841E1
1.117462158E0,-7.752294540E-1,-1.427877903E1,6.394318581E0,1.566434874E1
1.122436523E0,-1.348230362E0,-1.426132965E1,5.970011711E0,1.551915875E1
1.127410888E0,-1.953360558E0,-1.429163551E1,5.738884926E0,1.552421538E1
1.132385254E0,-2.363890648E0,-1.435259914E1,5.636330128E0,1.559978521E1
1.137329101E0,-2.655791283E0,-1.429426861E1,5.604621887E0,1.558175628E1
1.142303466E0,-3.011793137E0,-1.423112202E1,5.538464069E0,1.556503505E1
1.147277832E0,-3.509799004E0,-1.423092079E1,5.700156212E0,1.572671537E1
1.152252197E0,-3.849908829E0,-1.418886662E1,6.217164040E0,1.596242032E1
1.157196045E0,-3.876592636E0,-1.405075836E1,6.834160805E0,1.609837057E1
1.162170410E0,-3.717714310E0,-1.384250641E1,7.285773277E0,1.607852218E1
1.167144775E0,-3.347651482E0,-1.377691650E1,7.535439968E0,1.605593517E1
1.172119140E0,-2.784755707E0,-1.373190498E1,7.757297516E0,1.601548449E1
1.177062988E0,-2.124940872E0,-1.359631348E1,7.903114319E0,1.586928889E1
1.182037353E0,-1.471920013E0,-1.338990974E1,7.991864681E0,1.566289030E1
1.187011718E0,-8.870429993E-1,-1.312980843E1,8.016958237E0,1.540942354E1
1.191986084E0,-5.149030685E-1,-1.287613773E1,8.101484299E0,1.522150111E1
1.196929931E0,-1.979236603E-1,-1.269730663E1,8.245933533E0,1.514120832E1
1.201904297E0,3.020191193E-2,-1.249219990E1,8.383877754E0,1.504477905E1
1.206878662E0,-2.267074585E-2,-1.239880657E1,8.519680977E0,1.504379880E1
1.211853027E0,-2.128591537E-1,-1.239791870E1,8.696304321E0,1.514527669E1
1.216796875E0,-3.864965439E-1,-1.241133595E1,8.973345757E0,1.532029940E1
1.221771240E0,-5.523653030E-1,-1.233166218E1,9.405479431E0,1.551895753E1
1.226745605E0,-5.558910370E-1,-1.224826527E1,9.831170082E0,1.571562668E1
1.231719970E0,-4.899959564E-1,-1.206448746E1,1.016482544E1,1.578339729E1
